"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jan 26 11:00:54 BRT 2023","Thu Jan 26 11:01:03 BRT 2023","9794","EVEX7 test","Menu Ações - Usuario","","","","Cadastro - Consultor - Usuario - Ações - VSFone",""
"passed","Thu Jan 26 11:05:55 BRT 2023","Thu Jan 26 11:06:02 BRT 2023","6896","EVEX7 test","Ações basicas","","","","Atualizacao Cadastral - Limpar",""
"passed","Thu Jan 26 11:04:31 BRT 2023","Thu Jan 26 11:04:45 BRT 2023","13688","","EVEX7 test","","",""," Supervisão Leads",""
"passed","Thu Jan 26 10:58:41 BRT 2023","Thu Jan 26 10:58:50 BRT 2023","8415","EVEX7 test","Menu Açoes","","","","Fornecedores - Ação - Contas Bancarias",""
"passed","Thu Jan 26 11:02:50 BRT 2023","Thu Jan 26 11:02:59 BRT 2023","8367","EVEX7 test","Menu Acoes","","","","Associado Consultar - Consultar Veiuclo Associado",""
"passed","Thu Jan 26 11:00:08 BRT 2023","Thu Jan 26 11:00:21 BRT 2023","13149","EVEX7 test","Menu ação","","","","Regional - Menu Ações - Transferir Carteira",""
"passed","Thu Jan 26 11:08:44 BRT 2023","Thu Jan 26 11:08:51 BRT 2023","7541","EVEX7 test","Menu ações","","","","Cadastro - Consultor - Meta Comercial - Ação Editar - Adriana Brito",""
"failed","Thu Jan 26 11:00:44 BRT 2023","Thu Jan 26 11:00:54 BRT 2023","10008","EVEX7 test","Menu Ações - Usuario","","","","Cadastro - Consultor - Usuario - Ações - Historico",""
"passed","Thu Jan 26 10:58:32 BRT 2023","Thu Jan 26 10:58:41 BRT 2023","9044","EVEX7 test","Menu Açoes","","","","Fornecedores - Ação - Editar",""
"passed","Thu Jan 26 11:06:55 BRT 2023","Thu Jan 26 11:07:05 BRT 2023","9389","EVEX7 test","Menu Ações","","","","Cadastro - Consultor - Gerenciar Consultores - Acoes - Consultar",""
"passed","Thu Jan 26 10:59:55 BRT 2023","Thu Jan 26 11:00:01 BRT 2023","6474","EVEX7 test","Menu ação","","","","Regional - Menu Ações - Arquivo",""
